RETROFLEX;TAP;extroverted;educated;intelligent;feminine;masculine;formal;friendly;Paulistano;accented;lots.of.friends;central.area;NorthZ;SouthZ;EastZ;WestZ;CentralZ;younger;older;low.class;upper.class;tall;white;shy;cool;religious;family.oriented;articulate;annoying;snobbish;trustworthy;simple;hardworking;confident;solidary;practical;lazy;funny;laidback;sincere;spoiled;conservative;caipira;depressed;sophisticated;independent;paty.mauricinho;listFemale;listEducated;listCentralArea;listPaulistano
1;0;1;1;1;1;0;0;1;0;1;1;1;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;1;0
0;1;1;0;0;0;0;1;1;1;0;1;1;0;0;0;0;1;1;0;1;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
1;0;1;1;1;1;0;1;1;1;1;0;1;0;0;1;0;0;1;0;0;1;0;1;0;0;0;1;0;0;0;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
1;0;0;0;1;0;0;1;0;1;1;0;0;0;0;1;0;0;0;1;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0
0;1;1;1;1;0;0;1;1;1;1;1;1;0;0;0;0;1;0;1;1;0;1;1;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
0;1;1;1;1;0;1;0;1;1;1;1;1;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;1
1;0;1;1;1;1;0;0;1;0;1;1;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;1;0;1;1;0;0;0;0;1;1;0;1
1;0;1;1;1;0;1;1;0;1;1;0;1;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;1
0;1;1;1;1;1;0;0;1;1;1;1;1;1;0;0;0;0;0;1;1;0;0;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1
0;1;0;1;1;0;1;1;1;1;1;1;0;1;0;0;0;0;1;0;1;0;1;0;1;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1
1;0;1;0;0;1;0;0;0;1;1;1;0;0;0;1;0;0;0;1;1;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1
1;0;0;1;1;0;1;1;0;1;1;0;0;0;0;0;0;0;1;0;1;0;1;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;1;1
0;1;1;1;1;1;0;0;1;1;1;1;1;0;1;0;0;0;0;1;0;1;0;1;0;0;0;1;1;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1
0;1;1;0;0;0;1;1;0;1;1;1;1;0;0;0;0;0;1;0;0;1;1;1;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;1;1;0;0
1;0;1;1;1;1;0;0;1;1;1;1;1;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;1;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;1;0;0
1;0;1;1;1;0;1;0;1;0;1;1;1;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0
0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;1;1;0;0
0;1;1;1;1;0;1;0;0;1;0;1;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;1;0;1;1;1;1
1;0;1;1;1;1;0;0;1;0;1;1;1;0;0;0;0;0;0;1;0;1;0;0;1;0;0;1;1;0;0;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;1;1;1
1;0;1;0;1;0;0;1;0;1;1;0;0;1;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1
0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;1;0;1;1;1;1
0;1;1;1;1;0;1;1;1;1;0;0;1;0;0;0;0;1;1;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;1;1
1;0;1;0;1;1;0;0;1;0;1;1;0;0;0;1;0;0;0;1;1;0;1;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1
1;0;1;1;0;0;1;0;1;1;1;1;1;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;1
0;1;1;1;1;1;0;0;1;1;0;1;1;0;0;0;1;0;0;1;0;1;1;1;0;1;0;0;1;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;1;0;1;1;1;1
0;1;1;1;1;0;1;1;1;0;1;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1
1;0;1;0;1;1;0;1;1;1;0;1;1;0;0;0;1;0;0;1;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;1;0;1
1;0;1;1;1;0;1;0;0;0;1;1;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;1
0;1;1;0;1;1;0;0;1;1;0;1;1;0;0;0;1;0;1;0;0;1;0;0;0;0;1;1;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
0;1;1;1;1;0;1;1;1;1;0;1;1;0;0;0;0;0;1;0;0;1;1;0;0;0;0;1;1;0;0;0;0;1;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;1;1
1;0;1;1;1;1;0;0;1;0;1;1;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;1;1;1;0;0;0;1;1;0;0;0;1;0;0;0;0;0;1;1;1
1;0;0;1;0;0;1;1;0;0;1;0;1;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;1;1
0;1;1;1;1;1;0;0;1;1;0;1;1;0;0;0;0;0;0;1;0;1;0;1;0;1;0;0;0;0;0;0;1;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;1;1;1
0;1;1;1;1;0;1;1;0;1;1;1;1;0;0;0;1;0;1;0;0;1;1;1;0;0;0;0;1;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0
1;0;1;1;1;1;0;0;1;1;1;1;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0
1;0;0;1;1;0;1;1;1;1;1;0;1;0;0;1;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0
0;1;0;0;1;1;0;1;1;1;1;1;1;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;1;1;0
0;1;1;1;1;0;1;1;1;1;1;1;1;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0
1;0;1;1;1;1;0;0;1;0;1;1;1;0;0;0;0;0;0;1;0;1;0;0;0;1;0;1;1;0;0;0;0;0;1;0;1;0;1;1;1;0;0;0;0;0;0;0;1;1;1;0
1;0;1;1;1;0;1;0;0;0;1;1;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0
0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;0;0;0;1;0;0;1;0;0;0;1;0;1;1;0;0;0;1;0;1;1;0;0;0;0;1;0;0;0;0;0;1;0;1;1;1;0
1;0;0;1;1;0;1;1;0;1;0;1;1;0;0;0;0;1;1;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;1;1;1;1
0;1;1;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0;0;1;0;1;0;1;0;1;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;1;1;1;1
0;1;1;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;1;1
1;0;0;1;1;0;0;1;1;0;1;1;1;0;0;0;0;1;0;1;1;0;1;1;0;0;0;1;0;0;0;1;1;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;1;1;1;1
1;0;1;1;1;0;1;1;1;0;1;1;1;0;0;0;0;0;1;0;0;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0
0;1;1;1;1;1;0;0;1;1;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0
0;1;0;1;1;0;1;0;1;1;0;1;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0
1;0;1;1;1;1;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0
1;0;1;1;1;0;1;1;1;1;0;1;1;0;1;0;0;0;1;0;0;1;0;1;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;1;0
0;1;1;1;1;1;0;0;1;1;1;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;1;0
0;1;1;1;1;0;1;1;1;1;1;0;1;0;0;0;0;0;0;1;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;1;0
1;0;1;1;1;1;0;1;1;0;1;1;1;0;0;0;0;0;0;1;0;1;0;1;0;0;0;1;1;0;0;0;1;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;1;1;0
1;0;1;1;1;0;1;1;1;1;1;1;1;0;0;0;0;0;1;0;0;1;1;1;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;1;1
0;1;1;1;1;1;0;0;1;1;0;1;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1
0;1;0;1;1;0;1;0;0;1;0;0;1;0;0;0;0;0;1;0;0;1;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;1;1;1
1;0;0;1;0;1;0;0;1;0;1;1;0;0;0;0;0;0;0;1;0;1;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;1;1;1
1;0;1;1;1;0;1;0;0;1;0;0;1;0;1;0;0;0;1;0;0;1;0;1;0;0;0;0;1;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1
0;1;1;1;1;0;0;0;1;1;0;1;1;0;0;0;1;0;0;1;0;1;0;1;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;1;1;1
0;1;1;1;1;0;1;0;0;1;0;1;0;0;1;0;0;0;1;0;0;1;1;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;1;1;1
1;0;1;1;1;1;0;0;1;0;1;1;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;1
1;0;1;1;1;0;1;1;1;1;1;1;1;0;1;0;0;0;1;0;0;1;0;1;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0
0;1;1;1;1;1;0;0;1;1;0;1;1;0;0;0;1;0;0;1;0;1;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0
0;1;0;1;1;0;1;1;0;1;1;0;0;0;0;1;0;0;1;0;1;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;1;0
1;0;0;1;1;1;0;0;1;1;1;1;1;0;0;0;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;1;0
1;0;1;1;1;0;1;1;0;1;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;1;1;1;0;0;0;0;1;1;0;1;0;0;0;0;0;1;0;0;1;1;0;1;1;0;1
0;1;1;0;1;1;0;0;1;1;1;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;1
0;1;0;1;1;0;1;1;0;1;1;0;1;0;0;0;0;0;0;1;0;1;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;1;0;1
1;0;0;0;1;1;0;0;0;1;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1
0;1;1;1;1;0;1;1;0;0;1;1;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;1
1;0;1;0;1;0;0;0;0;1;1;1;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;1
1;0;1;0;1;0;1;0;1;1;1;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;1
0;1;0;1;0;1;0;0;1;1;0;0;1;0;1;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;1;0;1
0;1;0;1;1;0;1;0;1;1;1;1;1;0;0;0;0;1;1;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1
1;0;1;1;1;1;0;1;1;1;1;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;1;0;0;0;0;0;1;1;1
1;0;1;1;1;0;1;1;1;1;1;1;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1
0;1;1;1;1;1;0;1;1;1;0;1;1;0;0;0;0;1;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1
0;1;1;1;1;0;1;1;0;1;1;1;1;1;0;0;0;0;1;0;0;1;1;1;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0
1;0;1;1;0;1;0;1;1;0;1;1;0;0;0;1;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;1;1;0
1;0;0;0;1;0;1;1;0;0;1;0;0;0;0;1;0;0;0;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0
0;1;1;0;1;1;0;0;1;1;1;1;1;0;1;0;0;0;0;1;0;1;0;1;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;1;1;0
0;1;1;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;1;1;0;0
1;0;1;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;1;0;0;0;0;1;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0
1;0;1;1;0;0;1;1;1;0;1;1;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0
0;1;1;0;0;1;0;1;1;1;1;1;1;0;0;0;0;0;0;1;1;0;0;0;1;0;1;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0
0;1;1;1;1;0;1;1;1;1;1;1;1;0;0;0;0;0;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;0
1;0;1;0;1;1;0;0;1;0;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;1;0;0
1;0;0;1;1;0;1;1;1;1;1;0;1;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;1;0;0;0;0;1;1;0;1;0;0;0;0;0;1;0;0;0;1;0;1;1;0;0
0;1;1;1;1;1;0;1;1;1;1;1;1;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;1;1;0;0
1;0;1;1;1;0;1;1;1;1;1;1;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0
0;1;1;1;1;1;0;1;1;1;1;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0
0;1;1;1;1;0;1;1;1;1;1;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;1;0
1;0;1;1;1;1;0;1;1;1;1;1;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0
1;0;1;1;1;0;1;1;1;1;1;1;1;0;1;0;0;0;1;0;0;1;0;1;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1
0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;0;0;0;1;0;1;0;1;1;0;0;0;1;1;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;1;0;1
0;1;0;1;1;0;1;0;0;1;0;1;0;0;0;1;0;0;0;1;1;0;1;0;1;0;0;1;0;0;1;0;1;1;0;1;0;0;0;0;1;0;1;0;1;0;0;0;0;1;0;1
1;0;1;1;1;0;0;0;1;1;1;1;1;0;1;0;0;0;0;1;0;1;0;1;0;0;0;1;0;0;1;0;0;0;0;1;1;0;1;1;0;1;0;0;0;0;0;1;0;1;0;1
1;0;1;1;1;0;1;1;1;1;1;1;1;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1
0;1;1;1;1;1;0;1;1;1;1;1;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1
0;1;1;1;1;0;1;0;1;1;1;1;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1
1;0;1;1;1;0;0;0;1;1;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1
1;0;1;1;1;0;1;0;1;1;0;1;1;0;0;0;0;1;1;0;0;1;1;1;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1
0;1;1;1;1;1;0;0;1;1;1;1;1;0;1;0;0;0;1;0;0;1;1;1;0;1;0;1;0;0;0;0;0;0;1;0;1;0;1;1;0;0;0;0;0;1;0;0;1;1;0;1
0;1;0;1;1;0;1;1;0;1;1;0;1;0;0;0;0;0;1;0;0;1;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;1
1;0;0;1;1;1;0;1;1;0;1;1;0;0;0;0;1;0;0;1;1;0;0;0;1;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1
1;0;1;1;1;0;1;0;1;0;0;1;1;0;0;0;0;0;1;0;0;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1
0;1;1;0;1;1;0;0;1;1;1;1;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;1
0;1;0;0;1;0;1;1;0;1;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1
1;0;0;1;1;1;0;1;1;1;1;1;1;0;0;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;1;0;1;1;0;1
1;0;0;1;1;0;1;1;1;1;0;1;1;0;0;0;0;0;1;0;0;1;0;1;0;0;0;1;0;0;0;1;1;1;0;1;0;0;0;0;1;0;0;0;0;1;1;0;1;1;0;1
0;1;1;1;1;1;0;0;1;1;0;1;1;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;1;0;0;0;0;0;1;0;1;0;1;1;0;0;0;0;0;0;0;0;1;1;0;1
0;1;1;1;1;0;1;1;0;1;1;1;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;1;1;0;1
1;0;1;1;1;1;0;0;1;1;1;1;1;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;1;1;0;1
0;1;1;1;1;0;1;0;1;1;0;1;1;0;0;0;0;1;1;0;0;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;1
1;0;1;0;0;1;0;0;1;0;1;1;0;0;0;1;0;0;1;0;1;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;1;0;1
